0,1,2,3,4,5,6,7,8,9,10
0.635,658.5,367.2,277.6,240.5,226.75,227.35,239.45,262.8,298.7,350
0.645,391.15,222.2,171.4,151.65,146.1,149.65,160.9,179.95,208.1,247.5
0.655,282.7,162.05,126.2,112.8,109.75,113.55,123.2,138.95,161.85,193.8
0.665,222.7,128.35,100.55,90.40000000000001,88.45,92.05000000000001,100.4,113.8,133.15,160
0.675,184.3,106.6,83.85000000000001,75.7,74.40000000000001,77.7,85.05000000000001,96.7,113.5,136.75
0.6850000000000001,157.55,91.40000000000001,72.10000000000001,65.25,64.35000000000001,67.40000000000001,73.95,84.35000000000001,99.2,119.75
0.6950000000000001,137.85,80.10000000000001,63.35,57.5,56.8,59.65000000000001,65.60000000000001,74.95,88.30000000000001,106.75
0.7050000000000001,122.7,71.45,56.6,51.45,50.95,53.6,59.05,67.60000000000001,79.75,96.60000000000001
0.715,110.7,64.55,51.2,46.65000000000001,46.3,48.75,53.85,61.7,72.90000000000001,88.40000000000001
0.725,100.95,58.95,46.85,42.75,42.45,44.8,49.55,56.90000000000001,67.3,81.7
0.735,92.90000000000001,54.35,43.25,39.5,39.3,41.55,46,52.85,62.65000000000001,76.15000000000001
0.745,86.15000000000001,50.45,40.2,36.8,36.65,38.8,43,49.5,58.75,71.45
0.755,80.35000000000001,47.1,37.6,34.45,34.35,36.45,40.45,46.65000000000001,55.40000000000001,67.5
0.765,75.40000000000001,44.25,35.35,32.45,32.4,34.4,38.25,44.15000000000001,52.55,64.05
0.775,71.10000000000001,41.8,33.4,30.7,30.75,32.65,36.35,42.05,50.05,61.15000000000001
0.785,67.3,39.6,31.7,29.2,29.25,31.15,34.7,40.15000000000001,47.90000000000001,58.6
0.795,63.95,37.7,30.2,27.85,27.95,29.8,33.25,38.55,46.05,56.35
0.805,61,35.95,28.9,26.65,26.8,28.6,32,37.1,44.40000000000001,54.40000000000001
0.8149999999999999,58.3,34.45,27.7,25.6,25.75,27.55,30.85,35.85,42.95,52.7
0.825,55.95,33.05,26.65,24.65,24.85,26.6,29.85,34.75,41.65000000000001,51.2
0.835,53.75,31.85,25.65,23.8,24,25.75,28.95,33.75,40.55,49.90000000000001
0.845,51.8,30.7,24.8,23,23.3,25,28.15,32.85,39.55,48.75
0.855,50.05,29.7,24,22.35,22.6,24.35,27.45,32.1,38.65000000000001,47.7
0.865,48.40000000000001,28.75,23.3,21.7,22,23.75,26.8,31.4,37.85,46.8
0.875,46.90000000000001,27.9,22.65,21.1,21.45,23.2,26.2,30.75,37.15,46
0.885,45.55,27.15,22.05,20.6,20.95,22.7,25.7,30.2,36.55,45.3
0.895,44.25,26.4,21.5,20.1,20.5,22.25,25.25,29.7,36,44.7
0.905,43.1,25.75,21,19.7,20.1,21.8,24.8,29.25,35.5,44.15000000000001
0.915,42,25.15,20.55,19.3,19.75,21.45,24.45,28.85,35.1,43.7
0.925,41,24.6,20.1,18.9,19.4,21.1,24.1,28.5,34.7,43.3
0.9350000000000001,40.1,24.05,19.7,18.55,19.05,20.8,23.8,28.2,34.4,42.95
0.9450000000000001,39.2,23.6,19.35,18.25,18.8,20.55,23.5,27.9,34.1,42.65000000000001
0.9550000000000001,38.40000000000001,23.15,19,17.95,18.5,20.3,23.25,27.65,33.85,42.40000000000001
0.9650000000000001,37.65,22.7,18.7,17.7,18.3,20.05,23.05,27.45,33.65,42.2
0.9750000000000001,36.95,22.3,18.4,17.45,18.05,19.85,22.85,27.25,33.45,42.05
0.9850000000000001,36.25,21.95,18.1,17.25,17.85,19.65,22.65,27.05,33.3,41.90000000000001
0.995,35.65,21.6,17.85,17,17.65,19.5,22.5,26.95,33.15,41.8
