0,1,2,3,4,5
0.02,2645.4,1322.8,881.8000000000001,661.4000000000001,529.2
0.03,1759.8,880,586.6,440,352
0.04,1317,658.6,439,329.4,263.4
0.05,1051.2,525.6,350.4,262.8,210.4
0.06,874.2,437.2,291.4,218.6,175
0.07000000000000001,747.6,373.8,249.2,187,149.6
0.08,652.6,326.4,217.6,163.2,130.6
0.09000000000000001,578.8000000000001,289.4,193,144.8,115.8
0.1,519.8000000000001,260,173.4,130,104
0.11,471.4,235.8,157.2,118,94.40000000000001
0.12,431.2,215.6,143.8,107.8,86.40000000000001
0.13,397,198.6,132.4,99.40000000000001,79.40000000000001
0.14,367.8,184,122.6,92,73.60000000000001
0.15,342.6,171.4,114.2,85.80000000000001,68.60000000000001
0.16,320.4,160.2,106.8,80.2,64.2
0.17,300.8,150.4,100.4,75.2,60.2
0.18,283.4,141.8,94.60000000000001,71,56.8
0.19,267.8,134,89.40000000000001,67,53.6
0.2,253.8,127,84.60000000000001,63.6,50.8
0.21,241.2,120.6,80.40000000000001,60.40000000000001,48.40000000000001
0.22,229.6,114.8,76.60000000000001,57.40000000000001,46
0.23,219,109.6,73,54.8,43.8
0.24,209.4,104.8,69.8,52.40000000000001,42
0.25,200.6,100.4,67,50.2,40.2
0.26,192.4,96.2,64.2,48.2,38.6
0.27,184.8,92.40000000000001,61.6,46.2,37
0.28,177.6,88.80000000000001,59.2,44.40000000000001,35.6
0.29,171,85.60000000000001,57,42.8,34.2
0.3,165,82.60000000000001,55,41.40000000000001,33
0.31,159.2,79.60000000000001,53.2,39.8,32
0.32,153.8,77,51.40000000000001,38.6,30.8
0.33,148.8,74.40000000000001,49.6,37.2,29.8
0.34,144,72,48,36,28.8
0.35,139.4,69.8,46.6,35,28
0.36,135.2,67.60000000000001,45.2,33.8,27.2
0.3700000000000001,131.2,65.60000000000001,43.8,32.8,26.4
0.38,127.4,63.8,42.6,32,25.6
0.39,123.8,62,41.40000000000001,31,24.8
0.4,120.2,60.2,40.2,30.2,24.2
0.41,117,58.6,39,29.4,23.4
0.42,113.8,57,38,28.6,22.8
0.43,111,55.6,37,27.8,22.2
0.44,108,54,36,27,21.6
0.45,105.4,52.8,35.2,26.4,21.2
0.46,102.8,51.40000000000001,34.4,25.8,20.6
0.47,100.2,50.2,33.4,25.2,20.2
0.48,97.80000000000001,49,32.6,24.6,19.6
0.49,95.60000000000001,47.8,32,24,19.2
0.5,93.40000000000001,46.8,31.2,23.4,18.8
0.51,91.2,45.6,30.4,22.8,18.4
0.52,89.2,44.6,29.8,22.4,18
0.53,87.2,43.6,29.2,21.8,17.6
0.54,85.2,42.6,28.4,21.4,17.2
0.55,83.40000000000001,41.8,27.8,21,16.8
0.5600000000000001,81.60000000000001,40.8,27.2,20.4,16.4
0.5700000000000001,80,40,26.8,20,16
0.5800000000000001,78.2,39.2,26.2,19.6,15.8
0.5900000000000001,76.60000000000001,38.40000000000001,25.6,19.2,15.4
0.6,75.2,37.6,25.2,18.8,15.2
0.61,73.60000000000001,36.8,24.6,18.4,14.8
0.62,72.2,36.2,24.2,18.2,14.6
0.63,70.8,35.4,23.6,17.8,14.2
0.64,69.40000000000001,34.8,23.2,17.4,14
0.65,68,34,22.8,17,13.6
0.66,66.8,33.4,22.4,16.8,13.4
0.67,65.60000000000001,32.8,22,16.4,13.2
0.68,64.40000000000001,32.2,21.6,16.2,13
0.6900000000000001,63.2,31.6,21.2,15.8,12.8
0.7000000000000001,62,31,20.8,15.6,12.4
0.7100000000000001,60.8,30.4,20.4,15.2,12.2
0.7200000000000001,59.8,30,20,15,12
0.73,58.6,29.4,19.6,14.8,11.8
0.74,57.6,28.8,19.2,14.4,11.6
0.75,56.6,28.4,19,14.2,11.4
0.76,55.6,27.8,18.6,14,11.2
0.77,54.8,27.4,18.4,13.8,11
0.78,53.8,27,18,13.6,10.8
0.79,52.8,26.4,17.6,13.2,10.6
0.8,52,26,17.4,13,10.4
0.8100000000000001,51.2,25.6,17.2,12.8,10.4
0.8200000000000001,50.2,25.2,16.8,12.6,10.2
0.8300000000000001,49.40000000000001,24.8,16.6,12.4,10
0.8400000000000001,48.6,24.4,16.2,12.2,9.800000000000001
0.8500000000000001,47.8,24,16,12,9.600000000000001
0.86,47.2,23.6,15.8,11.8,9.600000000000001
0.87,46.40000000000001,23.2,15.6,11.6,9.4
0.88,45.6,22.8,15.2,11.4,9.200000000000001
0.89,45,22.6,15,11.4,9
0.9,44.2,22.2,14.8,11.2,9
0.91,43.6,21.8,14.6,11,8.800000000000001
0.92,43,21.6,14.4,10.8,8.6
0.93,42.40000000000001,21.2,14.2,10.6,8.6
0.9400000000000001,41.6,20.8,14,10.4,8.4
0.9500000000000001,41,20.6,13.8,10.4,8.200000000000001
0.9600000000000001,40.6,20.4,13.6,10.2,8.200000000000001
0.9700000000000001,40,20,13.4,10,8
0.98,39.40000000000001,19.8,13.2,10,8
0.99,38.8,19.4,13,9.800000000000001,7.800000000000001
1,38.40000000000001,19.2,12.8,9.600000000000001,7.800000000000001
